,x,Fib Prime Differences,log(differences),log(log(differences))
0,1,1,0,0
1,2,2,0.3010299956639811952137388947,-0.5213902276543248032662554140
2,3,8,0.9030899869919435856412166842,-0.04426897293466236597122751068
3,4,76,1.880813592280791351963811265,0.2743457546915394762937315429
4,5,144,2.158362492095249655445011385,0.3341243852477702732324238235
5,6,1364,3.134814370320460110844381861,0.4962118289522626688385403873
6,7,27060,4.432327792261604167768378619,0.6466318711035519309720711782
7,8,485572,5.686253635653505836852957812,0.7548262275155232987802072317
8,9,432980208,8.636468044730180710983930661,0.9363361704541704188193830935
9,10,2537720636,9.404443811249043019549807257,0.9733331160110070419992008226
10,11,99194850123540424,16.99648912557166417072040585,1.230359220739442073084927436
11,12,1066340417392515742719816672,27.02789587053880507355085720,1.431812237064484191205097394
12,13,18068361982601567485634851748,28.25691878265710331311680719,1.451124803349584233514737993
13,14,475420437734698220747368027166749382927701416997422491262175438295486052324,74.67707784757435602077554948,1.873187315443307628304139909
14,15,529892711006095146371601822089563922829085592280151578919488146277576292865708312740786128,89.72418794557282446251355915,1.952909536413439541185412846
15,16,857384416798688205322146546398461722061337599142249183459012869301255270820177904036305984,89.93317558582280358593241200,1.953919928841573920048832762
16,17,3060332715356740246727199661980530961719026981995566713441594881289435212923061330849093097596,93.48576864497454086025623552,1.970745503178715344255348889
17,18,10597999265298429012607159126474449098667776718201310647127655941645842672396161569055105380262327070463960,106.0252238850710406202114611,2.025409198197988912018845146
18,19,36684474316070380062208312155543030807429081897782713954834833446485208051513417883557139534739247260831948007904935960,118.5644823000697646463677865,2.073954609337935043284631160
19,20,59356726302841575762469269714649234575004330510681838001552021920611246317114918006288254066305713816409502405227008760,118.7734699403198688460919603,2.074719444473216372752169932
20,21,357103560641909860720907774139063454445569926582843306794041997476301071102767570483343563518510007800304195444080518562630900027386498933944619210192856768352683468831754423234217978525765921040747291316681576556861490773135214861782877716560879686368266117365351884926393775431925116896322341130075880287169244980698837941931247516010101631704349963583400361910809925847721300802741705519412306522941202429437928826033885416656967971559902743150263252229456298992263008126719589203430407385228230361532453659553207148447230043108575937316503804594543677769475003140023494680845862104155920496367052817004355255462241600,620.5527941805188086261142466,2.792778735465573796994595512
21,22,500195636126957292905024512596972806695803345136243348970565288179435361313804956505581782637634612477979679893275103396147348650762007594937510804541145002304302867341006298493404319657382123201158007188252606550806694535329232256851056656372379649097735304781630173812454531781511107460619516018844320335033801984806819067802561370394036732654089838823551603083295312920892835679232399010612427334223164704287254548647797105605578141579224060410297796712422915209372124253254081192279109788015200705227311465703973905780654329245090418325025472588088814141641449315149816526014766192953583268367795166627085858008068140144079016442722703626118316224206382442711543495740568522096428172097969339109831889663407132576153324810258569814596169031431599398791058600926957213092976876384307252646694031759190048176996987430998342481272548207520986953308250620440162652409134167325237950607774088360382341867592240608541816526252047896303508035905160749397073216423556397154212386261583275728,986.6991398984815501898789469,2.994184749629796456428552355
22,23,2930441286939258055400798002200365702070383356835498296052929375099603314612750189999474839964041401824000060018138590135001102587299815015650130834686143498453341628909617400956304842825578877171279600047811359538888608786938990098598645659903451740609669295448578082560336571019594417398129573470016074123854562354828938740293413142527655232544462567802266677549348401327915259972618948285325331058465395656714266652171581229391998440855019176192409264359532053101264216312943408460157552365560849086005482761219731296891581025995518779821452434221860277405087903381468261807641410217258361081652737006725254742107456907996492815246842078084879757671263906326646548267542626470522405206908925114295976724102614480915220976935350425520266114294624937976471820093531588308532365152427349886450830351105162400508166112592041729501817538787321124194326644633408946196977973444004292611743243771120978187702818607628594935782829323776747542597790104579065937788797395221330498881755329616054918034581612815393539614393390764479670258623125607655482105995844192815284393706755723108773386084773083167390707112479185939494672263876,1125.466933024467429412675614,3.051332739659977248847318428
23,24,34232086066590238613731690913951710107691215930667240465188054789504256373106821521172066166197766709252681550309849376631709628140069435257532740524017452449341702024368600697896725839541211193415554922986301655500727605058124292296738039853577435639694941578256133652419129990137384257939816852668231469715090637028329421030931438092346036252348076356297419600725595381169458846423057037791345204036506739689049310482960302396815466244425964972993775200819281391530388217161626391631839849531705181020130908994727454174850572321150106032855967150209115862775073284875432677910254627112810370960393893740861236603381566926209722249981954516151268507500749008081718305144615868594520917146555333978651915370885441986418643665817673640142519682400676824978981835143214373782377190788346095131806877299053005050085158119618806379313664853654541974762064375270421045473398639709720547114847675165589098017730932733161684499814147423931093905588778084509663406618901056770519907825882087408597033692963470244169700617616792684366605344692598793122326437795196755148082523976811180848829356950339313060527844207999692944195230860020001722599280720086558924065304022080810896305252388218599007900002245936481761358964680260521286188365471037984215944833302816148234768436008614490188351394987508103619801101895124791960987996020180340785124333427479644559371138251961213542230925436143969277885306078919997035536939108909814553455265604982094993079498816858375159151779821281095446923296671695355903257498214181998654891781528842479728684745975078751232309383916866080325713500884123900523201509143765017676124608305966895879251426329226731156736474067102361099297327218232588940451757831388365757698340441799866445406068435026954929193385265604294871816787232352243697409497441459701491863511652887498201655972825765467406820400780585022842913700995296932104242985814794961997346106374507008032501784780964641453937508461812581528255540318229943620456,1945.534433365383980723299292,3.289038921641043234683660612
24,25,1056597787330886165607283376335772947912004036112564579874375352759594439245715882939595161397158126807690111828142227934591242902943786528039533984948659078165802305899694776828905935783763419096093565735943836398351653330388644059819774398734406830753940579567233618422514890894621024495184931190257742819396526783878427404016969633658855154526680102450328914173642287674417301407316458966936554680661025147071009815338794251624447204729462283683685845952332714649005706342971441032193323642184933124746874758136641815318494516325024825931503843750291843215757958415607775333895439845015635180361212736729774963651202435732949677884609484138367319614948882402814192263998197407090825049666766728811931920015203204957941105564227086219797375032576603102365524197320624187277930905486759036953197229027442093984909137102035643711235906264103756561420100650005673906673018056795269937597228086895842409414809777579246845730500296664645682714338324656479817117131957796363243621653795254392120130406178197816607097093972196441343652948111289576626631530370121704304141084143226642970090440433957663479954395740354210359405204822540825299785691931273544868140675693257337079445837164117427510606109311318028756460923182104876594141400935200215967554397272607060636882844847480694309705749481048323115929479958685837488343140485226875743779672794966459526514830936932666834346659179879955617178261887358038017930868655305643717782149195369846476936605633250717782774985051322218437746360529885313939603428139627888147351152146170046576948290427615521455557095337953451661913469454379247853777290803891894949815673757485765878955064991729428224730892127417746502034825214751504655208956031404987876630084420116677571867319676090592078495453540531723763083524247724237926506294230609862040213916767252331173542208004374152285602136143195914083091502091715732406160853935517392277968619640984325438618393136680844051609110106478004408195923751816492553305609621013948033751643773877988536196117328880783651990957589147079881194068,2022.023909696876197282852877,3.305786286659544301073858084
25,26,3557553543946581225040479164116788033851212680209504558106994100936688528970097364194921768678385719595318294307523648671622242906917424646688811892251024593183897797245646505207646595387236996876153827040472589023926783736786550394284293563421034559640005957307178955494150780580821270241485451590565821493610827212475264747713094741225421539650247734338961674341829428412340459614955519910561936484392855623533250238615893281168466980012003123266144827467728986250480794719082579301882967144252495405187441972549495270565709822262648255074704983444315199267447778068773679810294770471784969646071077534997739482178472063809990100960828908113588039754907888828170340165845685868924932977702172822956741720049841876411409625007021538215864775683446597457815834170282806906950773316983501503399016275678387379505719137467163471948567396566759718646407911474554979628860129402348771529050628227349012409292697680392305909385016245361127616214694528712171926408298967333871285925967468690277993698929923495359948108043820113068927111380778497414744673063122741762015911903743928315146797477304006272916186095162835132156985025762221009598809033468424943031192410803241172606457884399937528618967156741778069673439391368992043440471729513737132058364893734598108635634349626938481041036542851333430340410753349581181152894341552356244056702211980906472940695689191604109332868356504422847909578519701656256193027995250443004228682667471708701768753802578009374682223472372828155600650075003509997998067974989069519086156681215067391237336368795347000602913489061746180074025086673175690364118044526906216237250065481839454320428553847233978402621868885224452481557687628043841938469844180846082889314868462215793298900161963876865234477074418429928071248499670321624044317762560923787707020196378412582781527936836029338128364037299450574115336356241903212061237995686104267610743013714841122793725938639488194655907483177549939903977437111478192495852586822294968019894270114321345522688951246467769382427368218022147975577863233282999117111456758456789277378347817353182532767390889332350099919501771164201820816782757304149574547870581524581667802320169476249539528098061355856503558891895595340952152480733495056683355922918003694484121434732270520006156574526813706722720313716160722796880662383237193800020212816042377386242172755485793993866246743583714676236002442643502625255069719571334560128868412302234297929990618150982877010020417098290393887855151133125609090961759289138549901555821047567408029707934610752078639780846423248103886683281009166222013239333934089669470380642775409810123467605794534099726992225032550084810326314667918674850937834675914992456420828025526479682058136425284164598864051041985149288661982380764272493264140713088015974914614930247280389459835406776126974933212953032696532499930165676022738240456354113426679955828331023385151168041764826408729805258364743037612836626742804857968122732471604886276397257672594647226616950452264981727101084092739809745080416393358525297405512,3015.551151445275097621972389,3.479366699612480980579114637
26,27,38334290314235681402914422903565266636600943789806448077202395980928763821942269508912078957660023927672700560723526649056301602682207036141428888739068572888348380249172877090080113604384516640638248136016122730151044000502078155513240260314636693136236410358256466730900597720768113753802105732188792889546608453698621649829149130121224676490874223226618616962632723701759652286658024206811992572869259484771103315332927189562921829105829214429258017659369298545411677877581344495613418633183983847202807917849559978581009032275711798856122849296654511337326310941707073947393415980963580518543574790413805266579717584665976826267962276108453581291401744776785254635441923479911679777217015261398764793916279383572084277286274691272367887264247593630126291119356232302917017472809263153139997737837600999783374561472801656718588806578437013888107500493182449930096356804814396054566075714405239729458920827828325196851814319995261317280278493035660349479431372421506552911234722135067918003768269717686543546438089765683149988194510299182008225442782983891953121100760705965027354951008208167916015293779578340630672325603695388375594308109077936369472034472409033087277583244201152844829640732285997496438987501778286342066664357275524609758092859636562466886886842000527060290930074772213459411764564318486040848778769250300226008957271406149049767492985253581786277214747217068367768370964321523285372624794093860643019505398138160494868752567323268314363033403060804670430959964209712477260465362652107540582187586085979379057864241810175518876546516365419754571159881592522060892631896595486275280913155371406386231857673263047193647506671090755206547975851140951650065322638186601693139166142810088674562080055432074875000781641460895227533865390309710617851617607619416904034707190832934009070174794731436785300112409603123409693980138546370396571938237023075535197635818231634350478611729051289217766962701413095792788883855410879909151960734479904631113377686999859681215047481915069960700368884053729753497633791934063784008221967873299045362839794929489618202894287229556233037737205023219479839639244217478334243738642750425435603369045577382417808946386513632129156324492148220496799574502971071851939024698517538279986760547843693569288718616153130009601345630882425409805483269777132144920044940278907732303031418289292273891558446738694088161144944230363768179228097434730570554273411515269567105785578943344053247828860819199285723768748679423955571247558048638199941718418982792175653271559077127957723097294784910819202090451145712415100937429198839885709896496630149794918018571078217643771066114664149924279200494834355882633645229714246133486448446738177556635934106608350966567137969927430507587550427734301092793175139643247194169445515439689240779103999651237017407694157555272638929147636916103842299697056608093520754855301548214026458444527003194348370206751217046600194835753328157135923205905036514666124246324161398569496277065006236157603350743793557429877970358147345437957693088372220413489168196605487770261199220721291774563224625175915164467799865078011497622057755554685716608150418898377339735118117799161885324508831852554287162507044853972769500925015156385308337400288688414559577042594844556263091340188398194655286020407416454274701515717030349692579975526488234891268331103374004117926603020694027416788199883106408401648510093819249549814700117107984325344659395783267165937467336095741210510336108240893642943567425451403044591364838534542934958078233470733440726244598035746335358779341077216234982963230769231262771906762434574746045676202021474803677416838192047318496384870991722748817133575072119272531853262557754875233882705811405478687323321217662662213393705280550129947926862571823790074071888863159793793054005914031518302263477893349285907856141271667315878620681548270292663308379068895985332472516793882883377036724325156582511975436219509500105478065245098204602694934850123078431470545948246126746087135200035184689586340494098613714594148383009566566075386094240722712320342138651744431257912085799984904453764600015895371813441369595867151435737352186499067093404402281672116386876181326267793871558449293681557431492863630047710750013940200195787172782022592107077549076651641334321938026737755445403333419762115955448572952691414696305505727605945691467018828069068134019488478631912055196030292542946358478089370599204487437950534390304211122815152340916903301282540873750755070898372524624686253233406001027479476622553065227225196165580871243844910157381773214804203382927779349004830341535201969951414636515308172345624427226566594508821294776008499786211406783916144852697095743453463544059519994363100547159542182116335061826002144892371258298442146010853603591836630263509041588042820393599795862885413220063648317600934236040999683661336907501598918892999129646710611930019934605428784241590672887620637188413040865335659175144492686288377937697430860614340981122220464941549054386962167967991847540109186213716099949822031139981422657683615077747121951943322933903748250676570719068568611889857094245261748239963697988743551373205073098325510746974379050962340861186513750503981215805701953646528385672113724145723044495812596111687659857464218804747299191326759404239146274570917321041735051566700901103001484292738035317960122883977699668261626384129366997239092,5341.583587427538404473970742,3.727670028812403051549345065
27,28,30434499662535029928380708765749764443757261509609058467456636194858855819815681693596080136971860465601978035016489857586935642450802115725259872601937891933060727781214631060387659157278244185837458880472060388481816464311926678142013948083379642532051780634097627391140351469628715882843617451359015067055440246613925269285864716646071311087221374261419536189331915626516263832691618871604174895881003788368671539688900471884721209229468255721652264833523452285409683386753374996910684195536080047022287805841680811495580164417080150963879809348698090813239288683602352366074056523286998185416849398213966316162380382618742506611566899035279406179708119911131757708901259930125595844205335267099445103507450523922496750338270033370624902495948258091037431326897508067426267431191812453544616216835364570959521613604356715990373720040527428008354551174960028179296230380796587861655090968403755669170354313654616688748237628673491607174205560662211161461086573094312507222909242436239931312793309121579915713401432499565986095506541397662475113079309871259578040235070491264945200519011659357917089950504435739358189630740294310904541535315636681849890151791201876382401006090484449473844371692251719834510617529527061917091907024129843750650280953347269091805233141105264224700035264116948181329100832415335906031227360681037438121622741085548497710856870472165960309776720448497791257437516962827855456223831216179243993486326851716197015217238629761968770990995392240325077723836663636247059810820911935916841136405855137488653573038669454925240020024045366697493812955527402760684441908773589418779755813543440447784681139120478901542962278222622912726229543619606075820962377795107466061250711923496171802356713291529206044349224665132946100520628629264420286890947790588162891514486530971513347559836377482898329981500243175293866297087829295761075406064307348743443390137560743816704590789061659716286610551929107015181737978128188855024136039471581688893635544091118473225044214282903184630172358174935060827507944713550026071717156595326664381846955626239721408445331819466633445896754545782623276198978864974203266637032615882437843019433541606751709144898097599629257534357312341884368235930524925454099795999232738357475899371876856152301187059234467277297253009037012517530657236292893908167123605508375785956757306965021971217799479638795451934835305822815913655002206755392471693327782623735356235609799856391540802600661394165461399731123998796867062469257620225871265602521479515810234020512244563211050206457184246202044772680185436936671686982288287373841465225446476665711666530074808425616338948218458351178958737021549649235075519038028168152543719782007538002688947302350560592837365381075005508439758042737700921289392686615297051460554725289804086438672342415682416793200732024603238812261729033089780188231854542643664735505661094476969469748412419199355827837668207438206322902110171606683241012589728791122290910001527456082463017387294590672186544414639623352766644935641670000120784931361043968893148725649498537396470828201090583370396847844203113692341527592043139503273051888779449100500057441686776014303017951640613577169299639899572321428853422317998201207804685505028574630315204045776743641465911031418511015275731465050749816287522311997426417199764785069305373505825795816790933296264396097832940374705612523478502286854961276156870460548083293094177728815828519681784100399262735623877738071490360202198156496283557534533990132984004810336829072036271883803285032505639421682103416720874173656098491419545638693740177648364728032403358813215818222518897191680665400969773421628061792475935966944201786512089837693360116975218527921519164698547751445985348666673038582655655852346138269801363133492356897212430728317602590704848770965565763299105377931119119473577897014506271087958449735181237196435737391315764990946806695015129954956234366277784931245146698804458950735718329240083709883616903796988811577903444346620302547294347577036983854430148491720338456562544083098950131360953534764929710580023871947692183147948818634072148247324370106353984142268338016088186698118871747158369415506117824641411094846836765964595083577199154349516620955045869587510212533631490232424223048832664082709320580860755108508123136330944722957025764698189428447106703099485759872456507313654961658344528477194938803727118696808793366839587023866459161522794559391411008294481099283109846980422848810514202558462822058504107095959104039548257953153524271820929747988358591910116726198183978455864914214818008410083380005290755968493819161818938174343025036590678512505095732034447841967817759678753908579956154697623526255135082923746100006832738911289767440674600873898799952437469959690577726336626525238464268303248334273418790622076391263598441676806636153624847685369746214868073014552056887013339138223527854642853369325917204975136476051558784380157797014621727402743330250356353372740655690782052608221854603275221327232351091316131822815549876523089542570558286542991537707434828453678073639840192583262806131988243226377127004582951895909635398306685325682309133056564505539274913187846803867041646946184511242558613817726105463984828661449865113911463850792605886252275104647820354742937894652799737559454858527934754661100631587068681543433707238609614545750470846099578483141450685936887866460623174673834296456813309864287337877937870526882932248026574872696142167289991294930555662246793672706703259562827493653818430277703948516150242098690658456427637883553754910854115061178607849018882726850451279744446758116787030136112671243983202624508079558219573951600017501905868917216356543347006752263561050839377126430332638299430309925230046693905049583339973309674611831038880070334777932073425055793493478708057691975259599118170482113955203085107129846018661812148287928880159030889640425389840238316718110458684274458442047805864323548482232521372976037863047448182824934621406791560870017999846969859585158367749628399883533034222592576624079960758408077633883379543853926798990038967738973133906867329997674666556230072346642324971358358387673593062831819064355371596208830370397674721258150005822330093510102982448444877786671416913420414499325338578197695752342158586508929146152818773475420100671662624873469442418056949523816312856880763517481755358092371382242782391836703661247228145717528601061542332155415617420583092095852974995661985065522914938040227778450463647660776,6427.483366166427905139108518,3.808040961395570197871652326
28,29,99214776140718945190725605074972166427717377706078538075383174002510122943707344834642797097678991147663574052152415309324587482475838368660386342549445389904776618432072442997604525377131041694760037670449579006630505364074170039507819146368394534594516651547321221280376294674720548855521180454328288147791964626986937392003288068068869170982895814056909025717767413674476870732335532154941648485481018263155632397000229541118388835698748400234772904519752028118046701071494681734162281611263405517611414106383290951786476422434497382292295160247718325671525970053896206242726930939922175071509453588187969169559660257361665983409121763659534951089045479119217023251151218209142168740633280793203218933975267878924233787062999137039838028714552383911325367929109659945336932753396666478342096843173437455585494572437918639789290175655551182815005136809602758367684228419612653336555001916030733945460382897704898479040716020103050475576656346879547533141649914012069536522563247447534626525489892429289841355600694129428975396600387652124664953808087599899541841823897609267435821537262351983145436522083856071482688076697528936719192458483887425611176611211219187582273899436481278737397606663333853255679129085182174973425502337088985123060896755691512320961170022629302318502995542988660656630792346264828668037955548130167728671781557452919044460247878525376167186191095475165946511231631344860509898675598639727041738284987031113000534928302832879202169747078676343545435076331254010825977829710176199370374342482764281697092421852408866924934712640208500879726191386047132371499223822682288327442069500899420094990985564524030078830897664655274065521144253486440291021860215349087822103559619790093174762749732204054365151864478594797035563445855929875588716927537520363560903064232093252606253080231038516911917102456569627619008253942987098965319341945528983312148801867097928447337374830415562550214887302264744211892151646274408010409484177750807224873658671661480285925712274157424464337957885112359928462086104080383385844954517134595533408818866521023061441086738892725747514188137737171638137737337843509729172240265635914585185038918564446283560412031357353679067568964995948702616165695183092653598142327161104207419493433071225706883520321333616417165863808466084358595683106098754785600019689151571325606131927408078759853523380654788448328042287226791415358402673520479072118228042971824938273311191804983068630007075493278836845917979102839711988514074471431759219817937379272518146740769641192750189378929469895416535117348261915983444667105712782033250376294413716427739171253970770306262187035784252341436513162234219480551502010702427434296141043844842197049569386471666610766889741922624148637268921317995838428962177212319587401209577665348511766131607518398654035024877484966487254565955099565942892807975441796966806432543018966225283916513222695974833271458024702800670777719682723627932985945853538930838682984014889233472987994990082879739468132834295875394065013668296559871689920640293371004512392534264432754814434766681060381976967989673954769664701945132749323129163048417198810554959182202408506531530950372504144521892291529736789625999544003353705175052469753022194628908872971172489790275538831482443901207242415697277686724349534256222498741592046159598649770265678521331206077441004716674711423262660186623310666906166893896140440377929238762934956467437977503571735799879201995779159034572267059947707370332527943719408464507947797831116760340690814345101354148077349135634488955378320354410179815161082212434321778824717068996739369578114997523301137751235850485765746546241032277234610921158106876157069032158845708671407343712835966908468336468529220890633983993450084551155304508467634059685612066486405159311018976367740840449374885680989494133299054083858494123072178828309829223155796145737365375149475523963627072109596128682282093736040659611529733885785305850350648316729998206230588480821886646027027392285876533818725434327962203794449735143073098724145469347618648778514743768088991414735004345382950436085339565763966028117427356469530684188568996711550808154181402778119225532000269122553991283962210697103265782403829485469331273985612447967849846729590034991790183921950144052204857892887176815554801699940873328040982929885250597256277212405010505174189347692920783126431469341432122220953097693758801934702996763231659483230788604707607868766951498997829568153561082049906175503967781415426977561526714890737192547625027318152593789128962657517965737718357594374883132703916016015806153903142351144153254488135105429389652300058322958706217449857648905266523461194680413766395658249581886688073202763959586105933357087946828877801265135964450340653049527633037387869986309571898850309722275810358289148235520276017824818226999134003647379204783507491774295781592922492412835749933559490929154433420201232931449794397153010264206027488552786132653947552677597893246796825259053085107760156809700137418776871191760325805440285427051172945437053637377153519244063382573945036672628750855535673236516909339958883430593312426202810915559713521873960271973190522696717054082501130794154482311678102802537032163259703266206649546875622524388134924244694257663647349420096428952261818255506559303993982934660667184885369993880818324889311641980688477487577068462171021832784849120528748222009485765048319494104018866702289777664772016185706634739966124143256773552019070739496737639497390902321810405149304128767443315761418132604470126831881622675352279832531972828227698729677937202508698335778148150683578415435919502105256949561821323856527057487660172886808990593598402944633952963839177640831224924960128033470184027536515243279058716065690097852091968883427850830359202383619044465952597386555124574618696199274767045758118213205112921874673200003732831738568979863561670362010532386379081026258572328599407794717519749461856511830740297779364562501788306062620452891114379584331046881904644891231256552910371514259840093352477250407382758894536188258899824608451636588884190577754849926729013914538264970388182346618413649493318454601786686563511250391669921005518455210250196574685968825195792927356158272416554005315804164500158105795076944526489658786712864676499601636448942746395094387288788989420829142160877287113369373386943070005970810364938598380630950917001010896881825992508055293453147017078708827927478319209086718102871228899003532010434031603510453783518802593917196992578065617336920929258060391732043457008081656441758830267689185173408739544670392314137999597763919132630692348379607982634093133131694557794906453418128546679726409166273481877509098590195277631533430227529601162944204484252689454794098150281555730965344850510187742305172156841631522557023664520284946217212598377352280439769930801745689031909198189211609483847377096262463599571253540669360180337624183319570754712400302779703115758326753410014409560333343443871897189156951764455517266386493649064263983084648229949901485808207581668564749743315711425719959863719228451946131424045673547379686329797641431799056813361527754380947452329217295783468739822820868996043644227612792665510420967898349416369450205698862877025510246351355961137195825276446924630482093342959365101435696314937930236432373708991395107069488558920822739532997252212663463954262777355782815848363346438105270478577892748564685752907855428328919067977749006912033373272631342560746182102464228855892672049353404857565789254188508894034042015995370370659250734540965392094808257442811147184688248264,7522.996576356816427557632810,3.876390864176002569680731166
29,30,968029104276455596253426969307382597156602091501262544539566546400445478677869551980500151690040370146049060766913487554136854884092306304314540048340121586629772037166377595287605692102316399781480662245344127982276202321622011944698511476027893757151951681031628375410246792042159495141327385899328635721341913259145153310488449738289116444589119558288125230204505618994298991762054360528904849814365889860309472421719679252273657274794205416999611167238130157168452083513350864356834490547276404582795570265608682355717883357382444789136697983101459353849211482005020707298828749192179236883563637245485289848934305075688441635746052894564361728211807601165454829563934190942015720216755911535478105327021269589538221002527776559503824800785845605834570684487427957136890395953398554089174538839478529561502322801712487703756980874567829776512338243143437565161995553613721158874985071762969417833880998644597853272745307213082093674314994110490399944531500508428449912300860426132755471167539612039776080349401839327804794073536908248596831414207887206977772667434475261729313296862786260821115037392254933483592823263774235444714380676102704733177532637235001222395253815228599618168796605238925549473362312378180747454111616239967214671965094680725459989257457570534063217889978484648991740560688391939514100411983291976991988112909532967828426923994006513065623696748998503336983900900023494817932828131656344509672219508672644644669437615721299189253100007561697332543950758198774504702967561377469791441603227402721321145225629772072640733154283147891221218682381219375841498017513323733500623767410231425742926487667884789925243246903712712427849614959376044229907282691539229048702872609806695872628064365445232110520256363164477575768827082617897324641317846162310951118246686620775088689667856176871076063321222966427738619246363220576745180374909713493536937266955860764981287327554683159187552592534725717514368890721547427274367148086730806966996667526116212620667875314823662231217070898055056681461234622390579642889970239260366994428189666578265873122811999147738847772113029591465783767342089702303927657226318537001895134074353057136502482237274371554189843084890539749394685081192454567938119146174535500739258380041589652476978682682948152170248510824033986766364098044832713692005963197733802633439595875762633149895677841227146297845578185388980276311157495503420495088560513659766986471820673595887690595134316418214970809240621759548886361334262434823223058636028528776940632665822993937230776747997059429046417655470311683778729138221468719796739707717417044592213397551449451648310699679251792447115830819983723335834047146648574874600657413299628474230318374435004474572151540974008432490700421789313656472643257114276088992971311623165143338288218948520787812191505849750447314675999584271581700781609100267876294861932349249999096138810869277079405742657888122844624605690706373374788393786061988210322836881225874505803035592520798204878385251590720502090924612436991848615721189562695594385938888040541717832411905344122655381478413580468896705560326783676951462398066147986950582952013334670779673453563282720446554601671899788939854652827733004169258453841328300849611755944344443486212187417181273622846114900762444633356043291693699300490344862524507791932805417910117857210919608889238497051708685457434543748756278727544851525992684189712056880862851408602558428432503004948957914853285447164547570348185191046229741902898547355210389409619837527329192680022675346038566287391110053945296867782669513541543454548763347391458749900264717040124982398724908229775949153765989590426064166967166220630810781628406998659005544221555197792210510392578513760043527940897679799966921710453541714201544436201623638872282564347675669736656941617796200889932972603335386284217187918134286720096639084506867102459550041409548753834205122854829743288517028811022502687371506894261099775017022182168681109533061018408010242381529217424669378938700423735369639570681915520660015242132281231009743724881596138998747100520273070331670929263031759752413985728964738062675839460515002150928984982747763689745875380323002231872338109745519852700010488581423099455030342520103998180321030048312105919106243245772536660301863584809825825757424605857691410486044012788688979873996916762307482049326985059266095616374987643993661455512869878606610565267141415180994610239928774461812380950420257075336048275137270667251544635582901761476410182194148577563483185391948658453494819395664555889761006845143024582850061248022605022687597874099085966006226859462669764447014039747986265562382142172358795386538335210764986709600034373570203708977419834846492009226068992166674794380918902936128109644453264209560088263167655256378467340130589390161002044416431624987415862301736774662153414330915629873579614399999919511678946014186962105519610817248950856012740373323804851517686067951162603034575153931863989044485031284306212927891654283962621874027735023500389752075092061315877132620358684752770818350795180354527972943511171264251926681833571920108743260646978714930712662409187867030969182525046622071955570328928032388165533558335712234555040743728921335934413515121720037639281895591233537361389926584433358144827148310811672934334993805501073608468574181712008483757966768287376278852105568590119411404140225523148432890045825058660123425669850506867560076071706036520852382290459625969840705262082577019560353886750992723433436416831664024218195808745316126109096661309682592653722223102018478868411884317771194873268492569315843549886601817826967731117153811365081702336988634206385852312827572627290568893530461774953041787320812023974412816824953162343442805252335652402970999622137541644293465824182212098325744879459823615836859850755617792001939269087007698369887639381942290584462348063483686441031927620603571489354081192726302955138934019830364122005371005993746335823172544790334952652392128874531487667624901759697709583826084086643093325453105255935097842087392132906850999449237732308221496791728671469306490770876343383431001544015108722874459912263317382147045410214221543031334143091107218894949342087263394157827001658989625876121385058770597248720164262046799389386934106371705018611280208026531025653025738403831612981469214001416091641570354056342323723714920930747081168554036166306601026772828146033668654177657668388096320606478419369684757064478584933793561827820094492342376517430982622802704503724278390026737476254890910495198168753225291254189297217295429426830670886028049843880608714653362534777171785829698354786462015805152808254365117274611489807966283796803093169108730671450818473364262307434540273500297433579514374756621149235230899227460417694933318019922284905271581064101189995214779202705783368678425142772539558668412948961975054653321667315082566654958157347469796267109427222550707835646895271840614632816695563690529306870749868357838612526786676138694011979564025641228538650906819184275282667886138843892637768475797024930168685189444230067631044198441749856632701167090042905763521928057865934915738521861373833904343070712685776669519763437465417305353392725891554632963116633008777123490018718036427659358664413533931248685334741054118985859547194866189832443334118044031418340480263170214853411340687255555334659061802846173190067435343641058319339913932172416580684010399964414284247848596192999122763690586924700799223726012495756155446645273616987814170730325986628636862887257303940583833855606172021859511950647245654245989883842630067773712604591413596006904396274471660524299784718034203301618267508054857449695032989065905723222081727725910589957978172606914337439894354883575750620139650206098583947535000736561289775925496007668810436779414157125800995698416408234599536173473515611024706598457576535457478328109209674111599463343744165379053796189190051088,7838.985888414784273016772209,3.894259882639473551721025227
