x,FibPrimeIndices,ln(FibPrimeIndices),log(FibPrimeIndices),rate_of_change
1,3,1.098612289,0.477121255,0
2,4,1.386294361,0.602059991,1
3,5,1.609437912,0.698970004,1
4,7,1.945910149,0.84509804,2
5,11,2.397895273,1.041392685,4
6,13,2.564949357,1.113943352,2
7,17,2.833213344,1.230448921,4
8,23,3.135494216,1.361727836,6
9,29,3.36729583,1.462397998,6
10,43,3.761200116,1.633468456,14
11,47,3.850147602,1.672097858,4
12,83,4.418840608,1.919078092,36
13,131,4.875197323,2.117271296,48
14,137,4.919980926,2.136720567,6
15,359,5.883322388,2.555094449,222
16,431,6.06610809,2.63447727,72
17,433,6.070737728,2.636487896,2
18,449,6.107022888,2.652246341,16
19,509,6.232448017,2.706717782,60
20,569,6.343880434,2.755112266,60
21,571,6.34738921,2.756636108,2
22,2971,7.996653875,3.472902652,2400
23,4723,8.46019947,3.674217946,1752
24,5387,8.591743923,3.731346976,664
25,9311,9.138951776,3.968996327,3924
26,9677,9.177507215,3.985740741,366
27,14431,9.577133949,4.159296427,4754
28,25561,10.14882303,4.40757784,11130
29,30757,10.33387289,4.487943973,5196
30,35999,10.49124644,4.556290437,5242
31,37511,10.5323895,4.574158642,1512
32,50833,10.83630103,4.706145741,13322
33,81839,11.31250918,4.912960314,31006
34,104911,11.56086765,5.020821027,23072
35,130021,11.77545125,5.114013502,25110
36,148091,11.90558223,5.170528666,18070
37,201107,12.21159238,5.303427187,53016
38,397379,12.89264576,5.599204913,196272
39,433781,12.98029508,5.637270526,36402
40,590041,13.2879473,5.77088219,156260
41,593689,13.29411089,5.773559002,3648
42,604711,13.31250594,5.781547869,11022
43,931517,13.74456972,5.969190785,326806
44,1049897,13.86420262,6.021146695,118380
45,1285607,14.06674154,6.109108228,235710
46,1636007,14.30776907,6.213785158,350400
47,1803059,14.40499522,6.256009938,167052
48,1968721,14.49289465,6.294184174,165662
49,2904353,14.8817212,6.4630494,935632
50,3244369,14.99243144,6.511130243,340016
51,3340367,15.02159124,6.523794185,95998